step,S_curr,S_next,diff_S,I,S_norm,I_norm,action,delta_I,reward,phi_0,phi_1,phi_2,cumulative_reward
22,1.0437413383284015,1.0137643355665964,-0.02997700276180515,-10.0,0.0874826766568031,-1.0,-10.0,0.0,0.2997700276180515,0.0,1.0,0.0,0.36433706794216025
23,1.0137643355665964,0.93611572973526,-0.07764860583133637,-10.0,0.027528671133192795,-1.0,-10.0,0.0,0.7764860583133637,0.0,1.0,0.0,1.140823126255524
24,0.93611572973526,0.9471032424040547,0.010987512668794719,-10.0,-0.12776854052947995,-1.0,-10.0,0.0,-0.10987512668794719,0.0,1.0,0.0,1.0309479995675768
25,0.9471032424040547,0.9091513409810371,-0.03795190142301763,-10.0,-0.10579351519189051,-1.0,-10.0,0.0,0.3795190142301763,0.0,1.0,0.0,1.410467013797753
26,0.9091513409810371,1.0113396687911156,0.10218832781007847,-10.0,-0.18169731803792577,-1.0,-10.0,0.0,-1.0218832781007847,0.0,1.0,0.0,0.38858373569696836
27,1.0113396687911156,0.8520054990036081,-0.15933416978750747,-10.0,0.022679337582231174,-1.0,-10.0,0.0,1.5933416978750747,0.0,1.0,0.0,1.981925433572043
28,0.8520054990036081,0.8792165125866162,0.027211013583008037,-10.0,-0.2959890019927838,-1.0,10.0,20.0,-1.2721101358300804,0.0,1.0,0.0,0.7098152977419627
29,0.8792165125866162,0.9057596068575482,0.026543094270932044,10.0,-0.2415669748267677,1.0,10.0,0.0,0.26543094270932044,1.0,0.0,0.0,0.9752462404512832
30,0.9057596068575482,0.8705825415953603,-0.03517706526218789,10.0,-0.1884807862849036,1.0,10.0,0.0,-0.3517706526218789,1.0,0.0,0.0,0.6234755878294043
31,0.8705825415953603,0.8869789786548368,0.016396437059476465,10.0,-0.2588349168092794,1.0,10.0,0.0,0.16396437059476465,1.0,0.0,0.0,0.7874399584241689
32,0.8869789786548368,0.9465980507876572,0.05961907213282047,10.0,-0.22604204269032646,1.0,10.0,0.0,0.5961907213282047,1.0,0.0,0.0,1.3836306797523736
33,0.9465980507876572,1.0103360509155472,0.06373800012789,10.0,-0.10680389842468552,1.0,10.0,0.0,0.6373800012788999,1.0,0.0,0.0,2.0210106810312736
34,1.0103360509155472,0.841248602501515,-0.16908744841403223,10.0,0.02067210183109447,1.0,-10.0,-20.0,-2.6908744841403225,1.0,0.0,0.0,-0.6698638031090489
35,0.841248602501515,0.8220439830683908,-0.019204619433124237,-10.0,-0.31750279499697,-1.0,-10.0,0.0,0.19204619433124237,1.0,0.0,0.0,-0.47781760877780655
36,0.8220439830683908,1.0167999735644009,0.1947559904960101,-10.0,-0.35591203386321846,-1.0,10.0,20.0,-2.947559904960101,1.0,0.0,0.0,-3.4253775137379074
37,1.0167999735644009,1.0518564726855408,0.03505649912113995,10.0,0.033599947128801766,1.0,-10.0,-20.0,-0.6494350087886005,1.0,0.0,0.0,-4.074812522526508
38,1.0518564726855408,0.8028251601212014,-0.2490313125643394,-10.0,0.10371294537108167,-1.0,-10.0,0.0,2.490313125643394,1.0,0.0,0.0,-1.584499396883114
39,0.8028251601212014,1.0549013513448244,0.252076191223623,-10.0,-0.39434967975759716,-1.0,10.0,20.0,-3.52076191223623,1.0,0.0,0.0,-5.105261309119344
40,1.0549013513448244,0.9032237947771936,-0.15167755656763082,10.0,0.10980270268964887,1.0,-10.0,-20.0,-2.5167755656763084,1.0,0.0,0.0,-7.622036874795652
41,0.9032237947771936,0.9660746943004662,0.06285089952327261,-10.0,-0.19355241044561278,-1.0,-10.0,0.0,-0.6285089952327261,1.0,0.0,0.0,-8.250545870028379
42,0.9660746943004662,0.9858186547799495,0.019743960479483236,-10.0,-0.06785061139906756,-1.0,-10.0,0.0,-0.19743960479483236,1.0,0.0,0.0,-8.447985474823211
43,0.9858186547799495,0.9347485826547811,-0.05107007212516834,-10.0,-0.02836269044010109,-1.0,-10.0,0.0,0.5107007212516834,1.0,0.0,0.0,-7.937284753571528
44,0.9347485826547811,0.9854547207668957,0.05070613811211455,-10.0,-0.13050283469043777,-1.0,-10.0,0.0,-0.5070613811211455,1.0,0.0,0.0,-8.444346134692672
